o	s	n	n
关卡id	登场对象	剧情触发器	剧情编号
hurdleid	scene_obj	triggerid	playid
60001000	aside_1=1, ;	100007	60030000
60001000	aside_1=1,金木研;aside_2=1,西尾锦;	100037	60021000
60001000	aside_1=1, ;	100008	60021001
60001000	aside_1=1, ;	100046	60060000
60001001	aside_1=1, ;	100007	60021002
60001001	aside_1=1, ;	100037	60030001
60001001	aside_1=1, ;	100008	60030002
60001001	aside_1=1, ;	100046	60060002
60001002	aside_1=1, ;	100007	60030003
60001002	aside_1=1,金木研;aside_2=1,雾岛董香;	100037	60021003
60001002	aside_1=1, ;	100046	60060001
60001002	aside_1=1,金木研;aside_2=1,雾岛董香;aside_3=1,芳村;	100008	60021101
60001003	aside_1=1, ;	100007	60030004
60001003	aside_1=1, ;	100046	60030005
60001003	aside_1=1, ;	100008	60021007
60001004	aside_1=1, ;	100007	60021004
60001004	aside_1=1, ;	100046	60030006
60001004	aside_1=1, ;	100008	60030007
60001005	aside_1=1, ;	100007	60030008
60001005	aside_1=1, ;	100046	60030009
60001005	aside_1=1, ;	100008	60030010
60001006	aside_1=1, ;	100007	60030011
60001006	aside_1=1,金木研;aside_2=1,西尾锦;aside_3=1, ;	200060	60021008
60001006	aside_1=1, ;	100046	60030012
60001006	aside_1=1, ;	100008	60030013
60001007	aside_1=1, ;	100007	60030014
60001007	aside_1=1, ;	100046	60030015
60001007	aside_1=1, ;	100008	60030016
60001008	aside_1=1, ;	100007	60030017
60001008	aside_1=1, ;	100046	60030018
60001008	aside_1=1, ;	100008	60030019
60001009	aside_1=1, ;	100007	60021009
60001009	aside_1=1,雾岛董香;aside_2=1, ;	100037	60030020
60001009	aside_1=1, ;	100046	60030021
60001009	aside_1=1, ;	100008	60030022
60001010	aside_1=1, ;	100007	60030023
60001010	aside_1=1, ;	100046	60030024
60001010	aside_1=1, ;	100008	60030025
60001011	aside_1=1, ;	100007	60030026
60001011	aside_1=1, ;	100046	60030027
60001011	aside_1=1, ;	100008	60030028
60001012	aside_1=1, ;	100007	60030029
60001012	aside_1=1, ;	100046	60030030
60001012	aside_1=1, ;	100008	60030031
60001013	aside_1=1, ;	100007	60030032
60001013	aside_1=1,金木研;aside_2=1,芳村功善;	100037	60031010
60001013	aside_1=1, ;	100046	60030033
60001013	aside_1=1, ;	100008	60021010
60001014	aside_1=1, ;	100046	60030035
60001014	aside_1=1, ;	100008	60030036
60001015	aside_1=1, ;	100007	60030037
60001015	aside_1=1, ;	100046	60030038
60001015	aside_1=1, ;	100008	60030039
60001016	aside_1=1,金木研;aside_2=1, ;	100007	60021011
60001016	aside_1=1, ;	100046	60030041
60001016	aside_1=1, ;	100008	60021012
60001017	aside_1=1, ;	100007	60021013
60001017	aside_1=1,真户吴绪;	100037	60031013
60001017	aside_1=1, ;	100046	60030042
60001017	aside_1=1, ;	100008	60030043
60001018	aside_1=1, ;	100007	60030044
60001018	aside_1=1, ;	100046	60030045
60001018	aside_1=1, ;	100008	60030046
60001019	aside_1=1, ;	100007	60030047
60001019	aside_1=1, ;	100046	60030048
60001019	aside_1=1, ;	100008	60030049
60001020	aside_1=1,芳村;aside_2=1,雾岛董香;	100007	60021014
60001020	aside_1=1, ;	100046	60030050
60001020	aside_1=1, ;	100008	60030051
60001021	aside_1=1, ;	100046	60030053
60001021	aside_1=1, ;	100008	60030054
60001022	aside_1=1, ;	100007	60030055
60001022	aside_1=1, ;	100046	60030056
60001022	aside_1=1, ;	100008	60030057
60001023	aside_1=1, ;	100007	60030058
60001023	aside_1=1, ;	100037	60021015
60001023	aside_1=1,雾岛董香;aside_2=1,诗;	100008	60021016
60001023	aside_1=1, ;	100046	60030059
60001024	aside_1=1,金木研;aside_2=1,月山习;	100007	60021018
60001024	aside_1=1,金木研;aside_2=1,月山习;	100008	60021019
60001024	aside_1=1, ;	100046	60030060
60001025	aside_1=1, ;	100007	60030061
60001025	aside_1=1, ;	100046	60030062
60001025	aside_1=1, ;	100008	60030063
60001026	aside_1=1, ;	100007	60030064
60001026	aside_1=1, ;	100046	60030065
60001026	aside_1=1, ;	100008	60030066
60001027	aside_1=1,金木研;aside_2=1,月山习;	100007	60021020
60001027	aside_1=1, ;	100037	60030067
60001027	aside_1=1,金木研;aside_2=1,月山习;	100008	60021021
60001027	aside_1=1, ;	100046	60030068
60001028	aside_1=1, ;	100007	60030069
60001028	aside_1=1, ;	100046	60030070
60001028	aside_1=1, ;	100008	60030071
60001029	aside_1=1,金木研;	100007	60021022
60001029	aside_1=1, ;	100046	60030072
60001029	aside_1=1, ;	100008	60030073
60001030	aside_1=1, ;	100007	60030074
60001030	aside_1=1, ;	100037	60030075
60001030	aside_1=1,月山习;	100008	60021024
60001030	aside_1=1, ;	100046	60030076
60001031	aside_1=1,金木研;aside_2=1,四方莲示;aside_3=1, ;	100007	60021025
60001031	aside_1=1, ;	100037	60030077
60001031	aside_1=1, ;	100046	60030078
60001031	aside_1=1, ;	100008	60030079
60001032	aside_1=1, ;	100007	60030080
60001032	aside_1=1, ;	100046	60030081
60001032	aside_1=1, ;	100008	60030082
60001033	aside_1=1,金木研;aside_2=1,喰种;	100007	60021026
60001033	aside_1=1, ;	100046	60030084
60001033	aside_1=1, ;	100008	60030085
60001034	aside_1=1,金木研;aside_2=1,月山习;aside_3=1,西尾锦;aside_4=1, ;	100007	60021027
60001034	aside_1=1, ;	100046	60030086
60001034	aside_1=1, ;	100008	60030087
60001035	aside_1=1, ;	100046	60030089
60001035	aside_1=1, ;	100008	60030090
60001036	aside_1=1, ;	100007	60021028
60001036	aside_1=1, ;	100046	60030091
60001036	aside_1=1, ;	100008	60030092
60001037	aside_1=1, ;	100007	60021029
60001037	aside_1=1, ;	100037	60030093
60001037	aside_1=1, ;	100046	60030094
60001037	aside_1=1,雾岛董香;	100008	60021030
60001038	aside_1=1, ;	100007	60030095
60001038	aside_1=1,笛口朝树;aside_2=1,杰森;	100037	60021031
60001038	aside_1=1, ;	100046	60030096
60001038	aside_1=1, ;	100008	60030097
60001039	aside_1=1, ;	100007	60030098
60001039	aside_1=1, ;	100046	60030099
60001039	aside_1=1, ;	100008	60030100
60001040	aside_1=1, ;	100007	60030101
60001040	aside_1=1, ;	100046	60030102
60001040	aside_1=1, ;	100008	60030103
60001041	aside_1=1,真户吴绪;aside_2=1,亚门钢太朗;aside_3=1,杰森;	100007	60021033
60001041	aside_1=1, ;	100046	60030104
60001041	aside_1=1, ;	100008	60030105
60001042	aside_1=1, ;	100007	60030106
60001042	aside_1=1, ;	100046	60030107
60001042	aside_1=1, ;	100008	60030108
60001043	aside_1=1, ;	100007	60030109
60001043	aside_1=1, ;	100046	60030110
60001043	aside_1=1, ;	100008	60030111
60001044	aside_1=1,真户吴绪;aside_2=1, ;	100007	60021034
60001044	aside_1=1, ;	100037	60030112
60001044	aside_1=1, ;	100046	60030113
60001044	aside_1=1, ;	100008	60030114
60001045	aside_1=1, ;	100007	60021035
60001045	aside_1=1, ;	100046	60030115
60001045	aside_1=1, ;	100008	60021036
60001046	aside_1=1, ;	100007	60030116
60001046	aside_1=1, ;	100046	60030117
60001046	aside_1=1, ;	100008	60030118
60001047	aside_1=1, ;	100007	60030119
60001047	aside_1=1, ;	100046	60030120
60001047	aside_1=1, ;	100008	60030121
60001048	aside_1=1,笛口雏实;aside_2=1,笛口凉子;aside_3=1, ;	100007	60021037
60001048	aside_1=1, ;	100046	60030122
60001048	aside_1=1,笛口凉子;	100008	60021038
60001049	aside_1=1, ;	100046	60030124
60001049	aside_1=1, ;	100008	60030125
60001050	aside_1=1, ;	100007	60035002
60001050	aside_1=1, ;	100008	60035000
60001050	aside_1=1, ;	100046	60035001
60001051	aside_1=1, ;	100007	60030126
60001051	aside_1=1,金木研;aside_2=1,真户吴绪;aside_3=1, ;	100008	60021039
60001051	aside_1=1, ;	100046	60030128
60001052	aside_1=1,芳村;aside_2=1,雾岛董香;	100007	60021040
60001052	aside_1=1, ;	100008	60021041
60001052	aside_1=1, ;	100046	60030130
60001053	aside_1=1,亚门钢太朗;aside_2=1, ;	100007	60021042
60001053	aside_1=1, ;	100008	60030131
60001053	aside_1=1, ;	100046	60030132
60001054	aside_1=1, ;	100007	60030133
60001054	aside_1=1, ;	100046	60030134
60001054	aside_1=1, ;	100008	60030135
60001055	aside_1=1, ;	100007	60030136
60001055	aside_1=1,金木研;aside_2=1,亚门钢太朗;	100037	60021044
60001055	aside_1=1, ;	100046	60030137
60001055	aside_1=1,金木研;aside_2=1,亚门钢太朗;	100008	60021045
60001056	aside_1=1, ;	100007	60030138
60001056	aside_1=1, ;	100046	60030139
60001056	aside_1=1, ;	100008	60030140
60001057	aside_1=1, ;	100007	60030141
60001057	aside_1=1, ;	100046	60030142
60001057	aside_1=1, ;	100008	60030143
60001058	aside_1=1,雾岛董香;aside_2=1,笛口雏实;aside_3=1,真户吴绪;aside_4=1, ;	100007	60021046
60001058	aside_1=1, ;	100037	60030144
60001058	aside_1=1, ;	100046	60030145
60001058	aside_1=1, ;	100008	60030146
60001059	aside_1=1, ;	100007	60021047
60001059	aside_1=1, ;	100037	60030147
60001059	aside_1=1, ;	100046	60030148
60001059	aside_1=1, ;	100008	60030149
60001060	aside_1=1, ;	100007	60030150
60001060	aside_1=1, ;	100046	60030151
